"Time (ms)","Recording (a.u.)"
0.000000000E0,7.933814079E-3
2.267659592E-2,2.078905702E-2
4.535319185E-2,3.291872144E-2
6.802978777E-2,4.475551844E-2
9.070638369E-2,5.704592168E-2
1.133829796E-1,6.955231726E-2
1.360595755E-1,8.284027874E-2
1.587361715E-1,9.668934345E-2
1.814127674E-1,1.104366705E-1
2.040893633E-1,1.237346753E-1
2.267659592E-1,1.370267570E-1
2.494425552E-1,1.504586935E-1
2.721191511E-1,1.630648971E-1
2.947957470E-1,1.747436374E-1
3.174723429E-1,1.858929396E-1
3.401489389E-1,1.964275241E-1
3.628255348E-1,2.058682740E-1
3.855021307E-1,2.139876634E-1
4.081787266E-1,2.210783511E-1
4.308553225E-1,2.270620167E-1
4.535319185E-1,2.315962762E-1
4.762085144E-1,2.347181141E-1
4.988851103E-1,2.369917482E-1
5.215617062E-1,2.386329472E-1
5.442383022E-1,2.390056551E-1
5.669148981E-1,2.386412174E-1
5.895914940E-1,2.388512194E-1
6.122680899E-1,2.397046536E-1
6.349446859E-1,2.402489930E-1
6.576212818E-1,2.399940342E-1
6.802978777E-1,2.384539545E-1
7.029744736E-1,2.353293449E-1
7.256510695E-1,2.313423604E-1
7.483276655E-1,2.260486335E-1
7.710042614E-1,2.185364068E-1
7.936808573E-1,2.100621164E-1
8.163574532E-1,2.017038465E-1
8.390340492E-1,1.913582087E-1
8.617106451E-1,1.783871651E-1
8.843872410E-1,1.660346538E-1
9.070638369E-1,1.554851234E-1
9.297404329E-1,1.444598734E-1
9.524170288E-1,1.323059350E-1
9.750936247E-1,1.201926172E-1
9.977702206E-1,1.086136550E-1
1.020446817E0,9.667783976E-2
1.043123412E0,8.297598362E-2
1.065800008E0,6.830191612E-2
1.088476604E0,5.415082350E-2
1.111153200E0,4.008026049E-2
1.133829796E0,2.476277947E-2
1.156506392E0,9.122638032E-3
1.179182988E0,-5.661059171E-3
1.201859584E0,-2.088744193E-2
1.224536180E0,-3.704021871E-2
1.247212776E0,-5.293451250E-2
1.269889372E0,-6.804326177E-2
1.292565968E0,-8.273760974E-2
1.315242564E0,-9.710554779E-2
1.337919159E0,-1.112534702E-1
1.360595755E0,-1.252143383E-1
1.383272351E0,-1.391213089E-1
1.405948947E0,-1.535708308E-1
1.428625543E0,-1.686488539E-1
1.451302139E0,-1.834490448E-1
1.473978735E0,-1.979577094E-1
1.496655331E0,-2.130310684E-1
1.519331927E0,-2.281148285E-1
1.542008523E0,-2.421482652E-1
1.564685119E0,-2.546017170E-1
1.587361715E0,-2.664311528E-1
1.610038311E0,-2.776176333E-1
1.632714906E0,-2.872851193E-1
1.655391502E0,-2.961561680E-1
1.678068098E0,-3.039470911E-1
1.700744694E0,-3.106408715E-1
1.723421290E0,-3.163084984E-1
1.746097886E0,-3.208801150E-1
1.768774482E0,-3.244311213E-1
1.791451078E0,-3.271644115E-1
1.814127674E0,-3.297856450E-1
1.836804270E0,-3.314920962E-1
1.859480866E0,-3.324179947E-1
1.882157462E0,-3.324345350E-1
1.904834058E0,-3.312755227E-1
1.927510653E0,-3.302269876E-1
1.950187249E0,-3.291563988E-1
1.972863845E0,-3.270774186E-1
1.995540441E0,-3.230751157E-1
2.018217037E0,-3.174173534E-1
2.040893633E0,-3.113873005E-1
2.063570229E0,-3.051795065E-1
2.086246825E0,-2.979162931E-1
2.108923421E0,-2.890246809E-1
2.131600017E0,-2.790730298E-1
2.154276613E0,-2.681265473E-1
2.176953209E0,-2.560122609E-1
2.199629805E0,-2.430760264E-1
2.222306400E0,-2.296570241E-1
2.244982996E0,-2.160851657E-1
2.267659592E0,-2.018966675E-1
2.290336188E0,-1.875350028E-1
2.313012784E0,-1.738499701E-1
2.335689380E0,-1.607009172E-1
2.358365976E0,-1.475330591E-1
2.381042572E0,-1.345447302E-1
2.403719168E0,-1.225623488E-1
2.426395764E0,-1.111195982E-1
2.449072360E0,-9.984993190E-2
2.471748956E0,-8.835975081E-2
2.494425552E0,-7.672277093E-2
2.517102147E0,-6.557656080E-2
2.539778743E0,-5.427075922E-2
2.562455339E0,-4.286702722E-2
2.585131935E0,-3.151396662E-2
2.607808531E0,-1.988567784E-2
2.630485127E0,-8.271162398E-3
2.653161723E0,3.964648582E-3
2.675838319E0,1.652492583E-2
2.698514915E0,2.942714840E-2
2.721191511E0,4.338421673E-2
2.743868107E0,5.775012448E-2
2.766544703E0,7.205677032E-2
2.789221299E0,8.603158593E-2
2.811897895E0,1.002682447E-1
2.834574490E0,1.143076643E-1
2.857251086E0,1.284183264E-1
2.879927682E0,1.427945346E-1
