"Time (ms)","Recording (a.u.)"
0.000000000E0,2.105710842E-2
2.083412250E-2,4.133388028E-2
4.166824501E-2,6.011347473E-2
6.250236751E-2,7.754248381E-2
8.333649002E-2,9.455469996E-2
1.041706125E-1,1.105743721E-1
1.250047350E-1,1.247657835E-1
1.458388575E-1,1.379594505E-1
1.666729800E-1,1.507596672E-1
1.875071025E-1,1.632874310E-1
2.083412250E-1,1.750838757E-1
2.291753476E-1,1.863328218E-1
2.500094701E-1,1.978798211E-1
2.708435926E-1,2.097759843E-1
2.916777151E-1,2.229194045E-1
3.125118376E-1,2.367509007E-1
3.333459601E-1,2.493665665E-1
3.541800826E-1,2.619218230E-1
3.750142051E-1,2.748640776E-1
3.958483276E-1,2.856144309E-1
4.166824501E-1,2.934086919E-1
4.375165726E-1,3.000047207E-1
4.583506951E-1,3.065996766E-1
4.791848176E-1,3.131497204E-1
5.000189401E-1,3.188076019E-1
5.208530626E-1,3.231513798E-1
5.416871851E-1,3.270787597E-1
5.625213076E-1,3.301849961E-1
5.833554301E-1,3.308297098E-1
6.041895526E-1,3.291508555E-1
6.250236751E-1,3.269206882E-1
6.458577976E-1,3.248924911E-1
6.666919201E-1,3.204427063E-1
6.875260427E-1,3.121423125E-1
7.083601652E-1,3.029798269E-1
7.291942877E-1,2.945220172E-1
7.500284102E-1,2.856005430E-1
7.708625327E-1,2.751879096E-1
7.916966552E-1,2.634007931E-1
8.125307777E-1,2.508475184E-1
8.333649002E-1,2.369642556E-1
8.541990227E-1,2.220780551E-1
8.750331452E-1,2.071077824E-1
8.958672677E-1,1.919260621E-1
9.167013902E-1,1.773230135E-1
9.375355127E-1,1.634715199E-1
9.583696352E-1,1.496766657E-1
9.792037577E-1,1.365521699E-1
1.000037880E0,1.246745288E-1
1.020872003E0,1.138516515E-1
1.041706125E0,1.036265194E-1
1.062540248E0,9.433345497E-2
1.083374370E0,8.692567050E-2
1.104208493E0,8.021961153E-2
1.125042615E0,7.258784771E-2
1.145876738E0,6.546106935E-2
1.166710860E0,6.050501019E-2
1.187544983E0,5.665444583E-2
1.208379105E0,5.207163841E-2
1.229213228E0,4.636731744E-2
1.250047350E0,3.995969892E-2
1.270881473E0,3.227611259E-2
1.291715595E0,2.295942977E-2
1.312549718E0,1.324346848E-2
1.333383840E0,4.056021105E-3
1.354217963E0,-4.866194446E-3
1.375052085E0,-1.487721130E-2
1.395886208E0,-2.708994970E-2
1.416720330E0,-3.981427476E-2
1.437554453E0,-5.120963603E-2
1.458388575E0,-6.254926324E-2
1.479222698E0,-7.511083782E-2
1.500056820E0,-8.831439912E-2
1.520890943E0,-1.016091555E-1
1.541725065E0,-1.147674620E-1
1.562559188E0,-1.276400983E-1
1.583393310E0,-1.402064711E-1
1.604227433E0,-1.524941921E-1
1.625061555E0,-1.648966968E-1
1.645895678E0,-1.777140498E-1
