"Time (ms)","Recording (a.u.)"
0.000000000E0,1.192368567E-3
2.267659592E-2,1.759735681E-2
4.535319185E-2,3.442884982E-2
6.802978777E-2,5.520203710E-2
9.070638369E-2,7.980787009E-2
1.133829796E-1,1.087778062E-1
1.360595755E-1,1.379534602E-1
1.587361715E-1,1.606193185E-1
1.814127674E-1,1.788678020E-1
2.040893633E-1,1.952660084E-1
2.267659592E-1,2.067406178E-1
2.494425552E-1,2.154127955E-1
2.721191511E-1,2.225174308E-1
2.947957470E-1,2.308634520E-1
3.174723429E-1,2.403953075E-1
3.401489389E-1,2.491705269E-1
3.628255348E-1,2.647098899E-1
3.855021307E-1,2.840525508E-1
4.081787266E-1,2.991466522E-1
4.308553225E-1,3.097237349E-1
4.535319185E-1,3.181067407E-1
4.762085144E-1,3.262051344E-1
4.988851103E-1,3.310103416E-1
5.215617062E-1,3.331106901E-1
5.442383022E-1,3.342399001E-1
5.669148981E-1,3.320732713E-1
5.895914940E-1,3.271047473E-1
6.122680899E-1,3.215438128E-1
6.349446859E-1,3.153381348E-1
6.576212818E-1,3.045955002E-1
6.802978777E-1,2.874170542E-1
7.029744736E-1,2.694267035E-1
7.256510695E-1,2.566545010E-1
7.483276655E-1,2.475083321E-1
7.710042614E-1,2.381016016E-1
7.936808573E-1,2.286419570E-1
8.163574532E-1,2.202820927E-1
8.390340492E-1,2.148009688E-1
8.617106451E-1,2.125968039E-1
8.843872410E-1,2.108624578E-1
9.070638369E-1,2.084880769E-1
9.297404329E-1,2.051490247E-1
9.524170288E-1,2.000515759E-1
9.750936247E-1,1.943352818E-1
9.977702206E-1,1.872348487E-1
1.020446817E0,1.768287420E-1
1.043123412E0,1.663526297E-1
1.065800008E0,1.579812616E-1
1.088476604E0,1.475831866E-1
1.111153200E0,1.364700198E-1
1.133829796E0,1.295342743E-1
1.156506392E0,1.202599332E-1
1.179182988E0,1.064167470E-1
1.201859584E0,9.673024714E-2
1.224536180E0,9.047356993E-2
1.247212776E0,8.054045588E-2
1.269889372E0,6.478577852E-2
1.292565968E0,4.915838316E-2
1.315242564E0,4.154866934E-2
1.337919159E0,3.834674880E-2
1.360595755E0,2.989125997E-2
1.383272351E0,1.869207621E-2
1.405948947E0,1.099815127E-2
1.428625543E0,2.269881545E-3
1.451302139E0,-7.664039265E-3
1.473978735E0,-1.378522813E-2
1.496655331E0,-2.253444493E-2
1.519331927E0,-3.984766081E-2
1.542008523E0,-5.734678730E-2
1.564685119E0,-7.032416761E-2
1.587361715E0,-8.371825516E-2
1.610038311E0,-1.021126509E-1
1.632714906E0,-1.265124828E-1
1.655391502E0,-1.518316269E-1
1.678068098E0,-1.729211211E-1
1.700744694E0,-1.900163293E-1
1.723421290E0,-2.098290324E-1
1.746097886E0,-2.349615395E-1
1.768774482E0,-2.602220774E-1
1.791451078E0,-2.807556391E-1
1.814127674E0,-2.957306504E-1
1.836804270E0,-3.132099807E-1
1.859480866E0,-3.341687918E-1
1.882157462E0,-3.506473899E-1
1.904834058E0,-3.647188544E-1
1.927510653E0,-3.801858127E-1
1.950187249E0,-3.945262432E-1
1.972863845E0,-4.070450664E-1
1.995540441E0,-4.196435809E-1
2.018217037E0,-4.303972721E-1
2.040893633E0,-4.366269410E-1
2.063570229E0,-4.391320348E-1
2.086246825E0,-4.397039413E-1
2.108923421E0,-4.405308962E-1
2.131600017E0,-4.398102760E-1
2.154276613E0,-4.338847995E-1
2.176953209E0,-4.259776473E-1
2.199629805E0,-4.203822315E-1
2.222306400E0,-4.159833789E-1
2.244982996E0,-4.104198217E-1
2.267659592E0,-4.013632536E-1
2.290336188E0,-3.898273706E-1
2.313012784E0,-3.785987794E-1
2.335689380E0,-3.626515865E-1
2.358365976E0,-3.366884291E-1
2.381042572E0,-3.036795855E-1
2.403719168E0,-2.672622502E-1
2.426395764E0,-2.281264663E-1
2.449072360E0,-1.865783036E-1
2.471748956E0,-1.450985372E-1
2.494425552E0,-1.085927486E-1
2.517102147E0,-7.720906287E-2
2.539778743E0,-4.437062889E-2
2.562455339E0,-8.216388524E-3
2.585131935E0,2.304166183E-2
2.607808531E0,4.468601942E-2
2.630485127E0,6.333223730E-2
2.653161723E0,8.350885659E-2
2.675838319E0,1.020177379E-1
2.698514915E0,1.166097522E-1
2.721191511E0,1.316764206E-1
2.743868107E0,1.501585841E-1
2.766544703E0,1.696749479E-1
2.789221299E0,1.898029745E-1
2.811897895E0,2.076385915E-1
2.834574490E0,2.219473422E-1
2.857251086E0,2.334299088E-1
2.879927682E0,2.426365316E-1
2.902604278E0,2.543042004E-1
2.925280874E0,2.672153115E-1
2.947957470E0,2.775853276E-1
2.970634066E0,2.863048315E-1
2.993310662E0,2.977660298E-1
3.015987258E0,3.131538332E-1
3.038663854E0,3.276403546E-1
3.061340450E0,3.354016840E-1
3.084017046E0,3.377347589E-1
3.106693642E0,3.409923315E-1
3.129370237E0,3.402273953E-1
3.152046833E0,3.326959014E-1
3.174723429E0,3.224479556E-1
