Substance,$K_{sp}$ at $25^{o}C$
Al(OH)3,2.00E-32
BaCO3,1.60E-09
BaC2O4*2H2O,1.10E-07
BaSO4,2.30E-08
BaCrO4,8.50E-11
BaF2,2.40E-05
Ba(OH)2*8H2O,5.00E-03
Ba3(PO4)2,6.00E-39
Ba3(AsO4)2,1.10E-13
BiO(OH),4.00E-10
BiOCl,1.80E-31
Bi2S3,1.00E-97
Cd(OH)2,5.90E-15
CdS,1.00E-28
CdCO3,5.20E-12
Ca(OH)2,1.30E-06
CaCO3,8.70E-09
CaSO4*2H2O,6.10E-05
CaC2O4*H2O,1.96E-08
Ca3(PO4)2,1.30E-32
CaHPO4,7.00E-07
CaF2,4.00E-11
Cr(OH)3,6.70E-31
Co(OH)2,2.50E-16
CoS(α),5.00E-22
CoS(β),3.00E-26
CoCO3,1.40E-13
Co(OH)3,2.50E-43
CuCl,1.20E-06
CuBr,6.27E-09
CuI,1.27E-12
CuSCN,1.60E-11
Cu2S,2.50E-48
Cu(OH)2,2.20E-20
CuS,8.50E-45
CuCO3,2.50E-10
Fe(OH)2,1.80E-15
FeCO3,2.10E-11
FeS,3.70E-19
Fe(OH)3,4.00E-38
Pb(OH)2,1.20E-15
PbF2,4.00E-08
PbCl2,1.60E-05
PbBr2,4.60E-06
PbI2,1.40E-08
PbCO3,1.50E-15
PbS,7.00E-29
PbCrO4,2.00E-16
PbSO4,1.30E-08
Pb3(PO4)2,1.00E-54
Mg(OH)2,8.90E-12
MgCO3*3H2O,ca 1e-5
MgNH4PO4,3.00E-13
MgF2,6.40E-09
MgC2O4,7.00E-07
Mn(OH)2,2.00E-13
MnCO3,8.80E-11
MnS,2.30E-13
Hg2O*H2O,3.60E-26
Hg2Cl2,1.10E-18
Hg2Br2,1.30E-22
Hg2I2,4.50E-29
Hg2CO3,9.00E-15
Hg2SO4,7.40E-07
Hg2S,1.00E-47
Hg2CrO4,2.00E-09
HgS,1.60E-54
Ni(OH)2,1.60E-16
NiCO3,1.40E-07
NiS(α),4.00E-20
NiS(β),1.30E-25
KClO4,1.05E-02
K2PtCl6,7.48E-06
KHC4H4O6,3.00E-04
$\frac{1}{2}Ag_2O(Ag^{+} + OH^{-})$,2.00E-08
AgCl,1.60E-10
AgBr,5.00E-13
AgI,1.50E-16
AgCN,1.20E-16
AgSCN,1.00E-12
Ag2S,1.60E-49
Ag2CO3,8.10E-12
Ag2CrO4,9.00E-12
Ag4Fe(CN)6,1.55E-41
Ag2SO4,1.20E-05
Ag3PO4,1.80E-18
Sr(OH)2*8H2O,3.20E-04
SrCO3,7.00E-10
SrCrO4,3.60E-05
SrSO4,3.20E-07
SrC2O4*H2O,4.00E-07
TlCl,1.70E-04
TlSCN,1.60E-04
Tl2S,6.00E-22
Tl(OH)3,6.30E-46
Sn(OH)2,3.00E-27
SnS,1.00E-26
Sn(OH)4,1.00E-57
ZnCO3,2.00E-10
