Product,First Reactant Ion,Second Reactant Ion,First Reactant,Second Reactant,Soluble?
Cu(NO3)2,Cu,(NO3)2,CuCl2,Cu(NO3)2,TRUE
CuCl2,Cu,Cl2,Cu(NO3)2,CuCl2,FALSE
CuCO3,Cu,CO3,Cu(NO3)2,K2CO3,FALSE
K2(NO3)2,K2,(NO3)2,K2CO3,Cu(NO3)2,TRUE
CuCO3,Cu,CO3,CuCl2,K2CO3,FALSE
2KCl,2K,Cl,K2CO3,CuCl2,TRUE
Cu(NO3)2,Cu,(NO3)2,Cu(NO3)2,NaNO3,TRUE
2NaNO3,2Na,NO3,NaNO3,Cu(NO3)2,TRUE
Cu(NO3)2,Cu,(NO3)2,CuCl2,NaNO3,TRUE
2NaCl,2Na,Cl,NaNO3,CuCl2,TRUE
2KNO3,2K,NO3,K2CO3,NaNO3,TRUE
Na2CO3,Na2,CO3,NaNO3,K2CO3,TRUE
CuCl2,Cu,Cl2,Cu(NO3)2,KCl,FALSE
2KCl,2K,Cl,KCl,Cu(NO3)2,TRUE
CuCl2,Cu,Cl2,CuCl2,KCl,FALSE
2KCl,2K,Cl,KCl,CuCl2,TRUE
K2CO3,K2,CO3,K2CO3,KCl,TRUE
2KCl,2K,Cl,KCl,K2CO3,TRUE
NaCl,Na,Cl,NaNO3,KCl,TRUE
KNO3,K,NO3,KCl,NaNO3,TRUE
