"Time (s)","Frequency (Hz)","Speed (m/s)"
8.177414360E-1,4.400147284E2,1.138063240E-2
8.677424777E-1,4.400094219E2,7.280391803E-3
9.177435194E-1,4.400376043E2,2.905539749E-2
9.677445611E-1,4.399290277E2,-5.485107069E-2
1.017745603E0,4.400196244E2,1.516362617E-2
1.067746644E0,4.400225284E2,1.740744250E-2
1.117747686E0,4.400175295E2,1.354497306E-2
1.167748728E0,4.400103313E2,7.983123616E-3
1.217749770E0,4.399886657E2,-8.758536837E-3
1.267750811E0,4.400137470E2,1.062238792E-2
1.317751853E0,4.400038202E2,2.951939369E-3
1.367752895E0,4.400409907E2,3.167168613E-2
1.515128328E0,4.400515787E2,3.985162095E-2
1.565129370E0,4.400201928E2,1.560283014E-2
1.615130411E0,4.400138154E2,1.067519420E-2
1.665131453E0,4.400216962E2,1.676441685E-2
1.715132495E0,4.400291338E2,2.251097910E-2
1.765133536E0,4.399776483E2,-1.727267006E-2
1.815134578E0,4.400581563E2,4.493300225E-2
1.865135620E0,4.399900768E2,-7.668096141E-3
1.915136662E0,4.399459813E2,-4.174681761E-2
1.965137703E0,4.400105782E2,8.173842608E-3
2.015138745E0,4.400274184E2,2.118565271E-2
2.065139787E0,4.400302009E2,2.333548686E-2
2.115140828E0,4.399829619E2,-1.316630165E-2
2.165141870E0,4.400061679E2,4.766036355E-3
2.118248389E0,4.400167009E2,1.290473760E-2
2.168249431E0,4.399861072E2,-1.073565806E-2
2.218250472E0,4.400249998E2,1.931692897E-2
2.268251514E0,4.399437030E2,-4.350776459E-2
2.318252556E0,4.400101696E2,7.858124707E-3
2.368253597E0,4.399544785E2,-3.517934583E-2
2.418254639E0,4.399877358E2,-9.477142071E-3
2.468255681E0,4.399590764E2,-3.162574320E-2
2.518256723E0,4.399411402E2,-4.548863825E-2
2.568257764E0,4.399774124E2,-1.745491876E-2
2.618258806E0,4.399895289E2,-8.091521806E-3
2.668259848E0,4.399923277E2,-5.928671708E-3
2.720751990E0,4.399824241E2,-1.358190659E-2
2.770753032E0,4.399972864E2,-2.096921690E-3
2.820754073E0,4.399708691E2,-2.251175855E-2
2.870755115E0,4.399839514E2,-1.240161414E-2
2.920756157E0,4.400112614E2,8.701757150E-3
2.970757198E0,4.398804936E2,-9.237096641E-2
3.020758240E0,4.399313883E2,-5.302638700E-2
3.070759282E0,4.399585057E2,-3.206683956E-2
3.120760324E0,4.399718663E2,-2.174108663E-2
3.170761365E0,4.400016354E2,1.263686823E-3
3.220762407E0,4.399073706E2,-7.159230344E-2
3.270763449E0,4.400298665E2,2.307710455E-2
3.420134716E0,4.399642865E2,-2.759899731E-2
3.470135758E0,4.400104221E2,8.053262750E-3
3.520136799E0,4.399350466E2,-5.019868858E-2
3.570137841E0,4.399769317E2,-1.782643756E-2
3.620138883E0,4.399871312E2,-9.944373898E-3
3.670139924E0,4.399595360E2,-3.127047792E-2
3.720140966E0,4.399526769E2,-3.657175498E-2
3.770142008E0,4.399789007E2,-1.630478196E-2
3.820143050E0,4.399567662E2,-3.341125026E-2
3.870144091E0,4.399548257E2,-3.491102881E-2
3.920145133E0,4.399650664E2,-2.699627205E-2
3.970146175E0,4.399684449E2,-2.438524256E-2
4.020147216E0,4.399477923E2,-4.034707288E-2
4.070148258E0,4.399522794E2,-3.687898128E-2
4.019716182E0,4.399967650E2,-2.499791640E-3
4.069717224E0,4.398720665E2,-9.888648693E-2
4.119718265E0,4.399495080E2,-3.902101342E-2
4.169719307E0,4.399269172E2,-5.648245750E-2
4.219720349E0,4.399629732E2,-2.861400783E-2
4.269721390E0,4.398957474E2,-8.057792133E-2
4.319722432E0,4.398982664E2,-7.863046909E-2
4.369723474E0,4.399950845E2,-3.798369305E-3
4.419724516E0,4.398730133E2,-9.815438607E-2
4.469725557E0,4.400013567E2,1.048370110E-3
4.519726599E0,4.399689257E2,-2.401367243E-2
4.569727641E0,4.399440760E2,-4.321948265E-2
4.716493856E0,4.398857927E2,-8.827399826E-2
4.766494898E0,4.398838079E2,-8.980852182E-2
4.816495939E0,4.399033622E2,-7.469105217E-2
4.866496981E0,4.399653011E2,-2.681489815E-2
4.916498023E0,4.399738614E2,-2.019921263E-2
4.966499064E0,4.398630767E2,-1.058372729E-1
5.016500106E0,4.399684580E2,-2.437509543E-2
5.066501148E0,4.399130366E2,-6.721224375E-2
5.116502190E0,4.399369152E2,-4.875432590E-2
5.166503231E0,4.399519896E2,-3.710295589E-2
5.216504273E0,4.399245079E2,-5.834480101E-2
5.266505315E0,4.399292112E2,-5.470926696E-2
5.316506356E0,4.399514112E2,-3.755000645E-2
5.366507398E0,4.399353881E2,-4.993473707E-2
5.405863977E0,4.399400286E2,-4.634788002E-2
5.455865019E0,4.399251520E2,-5.784696463E-2
5.505866060E0,4.399252736E2,-5.775289854E-2
5.555867102E0,4.399562324E2,-3.382375421E-2
5.605868144E0,4.399124420E2,-6.767188256E-2
5.655869185E0,4.400262752E2,2.030235297E-2
5.705870227E0,4.398987019E2,-7.829379578E-2
5.755871269E0,4.399819280E2,-1.396530115E-2
5.805872311E0,4.399525773E2,-3.664874071E-2
5.855873352E0,4.399607241E2,-3.035226694E-2
5.905874394E0,4.400180635E2,1.395757690E-2
5.955875436E0,4.399571979E2,-3.307754290E-2
6.005876477E0,4.399062442E2,-7.246312684E-2
6.055877519E0,4.398079219E2,-1.484888094E-1
6.017434923E0,4.397419433E2,-1.995244881E-1
6.067435965E0,4.397693994E2,-1.782847736E-1
6.117437006E0,4.397231921E2,-2.140316980E-1
6.167438048E0,4.397407181E2,-2.004723229E-1
6.217439090E0,4.398301478E2,-1.313001427E-1
6.267440131E0,4.397596149E2,-1.858536334E-1
6.317441173E0,4.397141083E2,-2.210599737E-1
6.367442215E0,4.397113235E2,-2.232146900E-1
6.417443257E0,4.397371219E2,-2.032545194E-1
6.467444298E0,4.397800649E2,-1.700348168E-1
6.517445340E0,4.397814712E2,-1.689470774E-1
6.567446382E0,4.396947393E2,-2.360470539E-1
6.710036346E0,4.397491669E2,-1.939361403E-1
6.760037388E0,4.398950898E2,-8.108632383E-2
6.810038429E0,4.396676281E2,-2.570269506E-1
6.860039471E0,4.399756468E2,-1.881943922E-2
6.910040513E0,4.399319982E2,-5.255499313E-2
6.960041554E0,4.400149112E2,1.152188492E-2
7.010042596E0,4.400184456E2,1.425285847E-2
7.060043638E0,4.400888456E2,6.863958024E-2
7.110044680E0,4.402666091E2,2.058913680E-1
7.160045721E0,4.401501146E2,1.159581045E-1
7.210046763E0,4.401109870E2,8.574108313E-2
7.260047805E0,4.401986246E2,1.534134300E-1
7.310048846E0,4.402533949E2,1.956924690E-1
7.360049888E0,4.402164598E2,1.671821193E-1
7.323211407E0,4.403038661E2,2.346435541E-1
7.373212449E0,4.403024463E2,2.335479343E-1
7.423213490E0,4.402380594E2,1.838555226E-1
7.473214532E0,4.404134269E2,3.191663278E-1
7.523215574E0,4.402451533E2,1.893311581E-1
7.573216615E0,4.401879897E2,1.452026921E-1
7.623217657E0,4.402229037E2,1.721565704E-1
7.673218699E0,4.401877523E2,1.450194363E-1
7.723219741E0,4.401189503E2,9.189129071E-2
7.773220782E0,4.400680061E2,5.254202990E-2
7.823221824E0,4.399874776E2,-9.676693330E-3
7.873222866E0,4.399355020E2,-4.984668872E-2
7.919867717E0,4.399058490E2,-7.276859501E-2
7.969868759E0,4.399123072E2,-6.777615258E-2
8.019869800E0,4.397958629E2,-1.578155030E-1
8.069870842E0,4.398787796E2,-9.369614797E-2
8.119871884E0,4.398085669E2,-1.479899715E-1
8.169872925E0,4.397519893E2,-1.917527454E-1
8.219873967E0,4.397165642E2,-2.191597493E-1
8.269875009E0,4.397330847E2,-2.063779243E-1
8.319876051E0,4.397713697E2,-1.767607366E-1
8.369877092E0,4.398786684E2,-9.378212053E-2
8.419878134E0,4.397105462E2,-2.238160665E-1
8.469879176E0,4.397083342E2,-2.255276249E-1
8.611479244E0,4.397585374E2,-1.866871762E-1
8.661480286E0,4.398444258E2,-1.202589215E-1
8.711481327E0,4.397738672E2,-1.748287973E-1
8.761482369E0,4.398383803E2,-1.249338141E-1
8.811483411E0,4.397611612E2,-1.846574556E-1
8.861484452E0,4.399181997E2,-6.322111015E-2
8.911485494E0,4.399762079E2,-1.838578739E-2
8.961486536E0,4.399541148E2,-3.546047533E-2
9.011487578E0,4.399387419E2,-4.734239241E-2
9.061488619E0,4.400935085E2,7.224119021E-2
9.111489661E0,4.400883260E2,6.823818385E-2
9.161490703E0,4.402547669E2,1.967513766E-1
9.211491744E0,4.401699355E2,1.312630796E-1
9.261492786E0,4.402955636E2,2.282367413E-1
9.317367595E0,4.402870255E2,2.216478277E-1
9.367368637E0,4.403305590E2,2.552401866E-1
9.417369678E0,4.402807509E2,2.168055083E-1
9.467370720E0,4.403143572E2,2.427389332E-1
9.517371762E0,4.403266667E2,2.522370027E-1
9.567372803E0,4.402012462E2,1.554373149E-1
9.617373845E0,4.402677391E2,2.067634714E-1
9.667374887E0,4.401926068E2,1.487674320E-1
9.717375929E0,4.402485343E2,1.919408185E-1
9.767376970E0,4.401225918E2,9.470360954E-2
9.817378012E0,4.400464743E2,3.590816513E-2
9.867379054E0,4.400449810E2,3.475449121E-2
9.917380095E0,4.399441003E2,-4.320074403E-2
9.967381137E0,4.399984087E2,-1.229650142E-3
9.918257916E0,4.398416496E2,-1.224057421E-1
9.968258958E0,4.398019386E2,-1.531163492E-1
