Time (ms),Recording (a.u.)
0,0.000210553
0.020834123,0.00154824
0.041668245,0.003122699
0.062502368,0.004789964
0.08333649,0.006725622
0.104170613,0.00858706
0.125004735,0.009922618
0.145838858,0.011497532
0.16667298,0.013295319
0.187507103,0.015034339
0.208341225,0.016830582
0.229175348,0.018536154
0.25000947,0.020464083
0.270843593,0.022363616
0.291677715,0.023570927
0.312511838,0.024726842
0.33334596,0.026345212
0.354180083,0.027768658
0.375014205,0.028990328
0.395848328,0.030506663
0.41668245,0.03182669
0.437516573,0.032951672
0.458350695,0.034201115
0.479184818,0.035068482
0.50001894,0.035892695
0.520853063,0.036925666
0.541687185,0.037745588
0.562521308,0.038424715
0.58335543,0.039114434
0.604189553,0.040209152
0.625023675,0.041458946
0.645857798,0.042363837
0.66669192,0.043130171
0.687526043,0.043645516
0.708360165,0.044281323
0.729194288,0.045484446
0.75002841,0.04680768
0.770862533,0.048084486
0.791696655,0.049292054
0.812530778,0.050237332
0.8333649,0.051285196
0.854199023,0.052682411
0.875033145,0.053937785
0.895867268,0.055046804
0.91670139,0.056412004
0.937535513,0.058050387
0.958369635,0.059698816
0.979203758,0.060942844
1.00003788,0.061975442
1.020872003,0.063360676
1.041706125,0.064985603
1.062540248,0.066377513
1.08337437,0.067562863
1.104208493,0.068610288
1.125042615,0.06952329
1.145876738,0.07056015
1.16671086,0.071281165
1.187544983,0.07164824
1.208379105,0.072216988
1.229213228,0.072726108
1.25004735,0.072975829
1.270881473,0.072928883
1.291715595,0.073073328
1.312549718,0.073774859
1.33338384,0.074349299
1.354217963,0.074842311
1.375052085,0.075425781
1.395886208,0.075797863
1.41672033,0.076033011
1.437554453,0.076258309
1.458388575,0.076633334
1.479222698,0.077042639
1.50005682,0.077412367
1.520890943,0.077784061
1.541725065,0.077891462
1.562559188,0.077902779
1.58339331,0.078018129
1.604227433,0.078045264
1.625061555,0.078117438
1.645895678,0.078498363
1.6667298,0.079132423
1.687563923,0.07964018
1.708398045,0.079848014
1.729232168,0.080233537
1.75006629,0.08078596
1.770900413,0.080827832
1.791734535,0.080570593
1.812568658,0.080436543
1.83340278,0.080143318
1.854236903,0.079705253
1.875071025,0.079505853
1.895905148,0.079504475
1.91673927,0.07929647
1.937573393,0.079107925
1.958407515,0.079098567
1.979241638,0.078953594
2.00007576,0.078998037
